id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,genres
157336,Interstellar,2014-11-05,165000000,746606706,169,8.478,39980,70.5674,en,Adventure|Drama|Science Fiction
27205,Inception,2010-07-15,160000000,839030630,148,8.372,39341,32.9299,en,Action|Science Fiction|Adventure
24428,The Avengers,2012-04-25,220000000,1518815515,143,8.041,38290,48.7979,en,Science Fiction|Action|Adventure
155,The Dark Knight,2008-07-16,185000000,1004558444,152,8.5,35875,41.699,en,Action|Crime|Thriller
19995,Avatar,2009-12-16,237000000,2923706026,162,7.606,34043,43.0569,en,Science Fiction|Action|Adventure
293660,Deadpool,2016-02-09,58000000,782837347,108,7.624,32776,17.3905,en,Action|Adventure|Comedy
550,Fight Club,1999-10-15,63000000,100853753,139,8.4,32126,27.8778,en,Drama|Thriller
299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,8.2,32080,49.9642,en,Adventure|Action|Science Fiction
278,The Shawshank Redemption,1994-09-23,25000000,28341469,142,8.722,30531,90.5775,en,Drama|Crime
680,Pulp Fiction,1994-09-10,8000000,213928762,154,8.483,30263,31.8224,en,Thriller|Crime|Comedy
13,Forrest Gump,1994-06-23,55000000,677387716,142,8.465,29818,28.8368,en,Comedy|Drama|Romance
118340,Guardians of the Galaxy,2014-07-30,170000000,772776600,121,7.906,29754,8.4339,en,Action|Science Fiction|Adventure
671,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,152,7.899,29626,39.7358,en,Adventure|Fantasy
1726,Iron Man,2008-04-30,140000000,585174222,126,7.661,28178,21.1562,en,Action|Science Fiction|Adventure
68718,Django Unchained,2012-12-25,100000000,425368238,165,8.192,28072,12.7203,en,Drama|Western
603,The Matrix,1999-03-31,63000000,463517383,136,8.247,27993,53.8159,en,Action|Science Fiction
299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,8.237,27814,32.3524,en,Adventure|Science Fiction|Action
